gene	cell_type	AAB_vs_Control	tau	top_celltype	above_floor	call	is_called_ct	confident_call
MIR3681HG	delta cell	-0.00011893397459061816	0.8076662284435748	mesenchymal cell	False	below detection	False	False
MIR3681HG	duct epithelial cell	-0.00024239924096036702	0.8076662284435748	mesenchymal cell	False	below detection	False	False
MIR3681HG	endothelial cell	-0.0021523216273635626	0.8076662284435748	mesenchymal cell	False	below detection	False	False
MIR3681HG	epsilon cell	0.0	0.8076662284435748	mesenchymal cell	False	below detection	False	False
MIR3681HG	leukocyte	0.0	0.8076662284435748	mesenchymal cell	False	below detection	False	False
MIR3681HG	mesenchymal cell	0.0014185623731464148	0.8076662284435748	mesenchymal cell	False	below detection	True	False
MIR3681HG	unknown	-0.00043274485506117344	0.8076662284435748	mesenchymal cell	False	below detection	False	False
ITPR3	PP cell	-0.005108769983053207	0.8067464734201275	duct epithelial cell	False	below detection	False	False
ITPR3	acinar cell	0.015579596161842346	0.8067464734201275	duct epithelial cell	False	below detection	False	False
ITPR3	alpha cell	0.0042929090559482574	0.8067464734201275	duct epithelial cell	False	below detection	False	False
ITPR3	beta cell	-0.010452643036842346	0.8067464734201275	duct epithelial cell	False	below detection	False	False
ITPR3	delta cell	-0.0005766227841377258	0.8067464734201275	duct epithelial cell	False	below detection	False	False
ITPR3	duct epithelial cell	0.07344450056552887	0.8067464734201275	duct epithelial cell	False	below detection	True	False
ITPR3	endothelial cell	-0.0011578425765037537	0.8067464734201275	duct epithelial cell	False	below detection	False	False
ITPR3	epsilon cell	-0.0030006372835487127	0.8067464734201275	duct epithelial cell	False	below detection	False	False
ITPR3	leukocyte	-0.003372814040631056	0.8067464734201275	duct epithelial cell	False	below detection	False	False
ITPR3	mesenchymal cell	0.0034078452736139297	0.8067464734201275	duct epithelial cell	False	below detection	False	False
ITPR3	unknown	0.0020355582237243652	0.8067464734201275	duct epithelial cell	False	below detection	False	False
NAMA	PP cell	-0.001804026891477406	0.8018297532082306	mesenchymal cell	False	below detection	False	False
NAMA	acinar cell	0.0	0.8018297532082306	mesenchymal cell	False	below detection	False	False
NAMA	alpha cell	-0.001312672859057784	0.8018297532082306	mesenchymal cell	False	below detection	False	False
NAMA	beta cell	-0.0014294402208179235	0.8018297532082306	mesenchymal cell	False	below detection	False	False
NAMA	delta cell	0.0007263674633577466	0.8018297532082306	mesenchymal cell	False	below detection	False	False
NAMA	duct epithelial cell	0.0	0.8018297532082306	mesenchymal cell	False	below detection	False	False
NAMA	endothelial cell	1.8948805518448353e-05	0.8018297532082306	mesenchymal cell	False	below detection	False	False
NAMA	epsilon cell	0.0	0.8018297532082306	mesenchymal cell	False	below detection	False	False
NAMA	leukocyte	0.0	0.8018297532082306	mesenchymal cell	False	below detection	False	False
NAMA	mesenchymal cell	0.0007649834733456373	0.8018297532082306	mesenchymal cell	False	below detection	True	False
NAMA	unknown	-0.0011397413909435272	0.8018297532082306	mesenchymal cell	False	below detection	False	False
ANKRD55	PP cell	-0.0027949484065175056	0.7873310140577033	PP cell	False	below detection	True	False
ANKRD55	acinar cell	-3.1914910323393997e-06	0.7873310140577033	PP cell	False	below detection	False	False
ANKRD55	alpha cell	0.0007377277943305671	0.7873310140577033	PP cell	False	below detection	False	False
ANKRD55	beta cell	-0.00024030404165387154	0.7873310140577033	PP cell	False	below detection	False	False
ANKRD55	delta cell	-0.001176820253022015	0.7873310140577033	PP cell	False	below detection	False	False
ANKRD55	duct epithelial cell	0.0	0.7873310140577033	PP cell	False	below detection	False	False
ANKRD55	endothelial cell	-0.0005199903971515596	0.7873310140577033	PP cell	False	below detection	False	False
ANKRD55	epsilon cell	0.0	0.7873310140577033	PP cell	False	below detection	False	False
ANKRD55	leukocyte	0.0	0.7873310140577033	PP cell	False	below detection	False	False
